DataSet,Name,Category,Method,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
dict,ADFA,combine,reverse_manual,0.36217676449935726,0.3547217378800269,0.3749497816170333,1.2126375266089295e-2,2.7245819995490306e-3,1.5571555328986872e-2
dict,Trie,construction,fromList,0.30267389258136973,0.291314716192428,0.3107461912091821,1.2297528755094411e-2,5.979181571654167e-3,1.792687876159115e-2
dict,Trie,construction,fromAscList,8.167359810360866e-2,7.915969671124393e-2,8.493424000314599e-2,4.7882968394929665e-3,3.9071284586809345e-3,5.487234045507054e-3
dict,Trie,query,isEmpty,4.694057112248077e-9,4.678951043963164e-9,4.7127795370365534e-9,5.387028122305424e-11,4.357232891334142e-11,7.051218468922864e-11
dict,Trie,query,stringCount,1.1437872734203028e-2,1.130980485805033e-2,1.1673224444401876e-2,4.2883549390812547e-4,2.582557593788034e-4,6.340393272536914e-4
dict,Trie,query,enumerate10,1.0606400788248656e-7,1.0482066194309418e-7,1.0896612343277074e-7,6.17115336264116e-9,3.41011742609913e-9,1.0074880784975304e-8
dict,Trie,query,member,1.938852596891226e-4,1.9201264552462136e-4,1.9797243858071264e-4,8.698006501014739e-6,5.011327533682949e-6,1.5986775842785896e-5
dict,Trie,query,eqv1,2.0964880096244653e-2,2.074304477309568e-2,2.1676991982195342e-2,8.200051065077146e-4,4.0917213779984496e-4,1.4911473910481751e-3
dict,Trie,query,eqv3,1.1610784133165143e-4,1.1456824321106562e-4,1.1824243804321479e-4,6.500926823665207e-6,4.138245976532957e-6,9.344404613161417e-6
dict,Trie,combine,union,5.00177118818716e-2,4.754189916751942e-2,5.3428404625100796e-2,5.382531393483488e-3,3.8821097999375263e-3,7.608248322788067e-3
dict,Trie,combine,intersection,5.963359640197954e-2,5.711016780585168e-2,6.256133262418602e-2,5.2698198471149114e-3,3.6474689390475273e-3,7.565709235022731e-3
dict,Trie,combine,difference,1.859505628807303e-2,1.8422056569732965e-2,1.886685615301583e-2,5.325968077830958e-4,3.270213269938409e-4,7.881606171189656e-4
dict,Trie,combine,append,3.3186126345552825e-4,3.2465535404918816e-4,3.392538554949775e-4,2.501054832044443e-5,2.144467580917631e-5,3.1227967798937776e-5
dict,Trie,combine,prefixes,7.065262763676569e-7,6.710015964096687e-7,8.1684144106603e-7,2.1763387550044946e-7,3.516389361813216e-8,4.1677713303296857e-7
dict,Trie,combine,suffixes,0.4203413997553677,0.4007825026346836,0.4301468895040065,1.8567953489278685e-2,1.2027909658498051e-4,2.264480858365079e-2
dict,Trie,combine,reverse,0.30752701361314394,0.29527225366560744,0.32049174220301213,1.7056224980926654e-2,9.911885118362197e-3,2.4346462932968813e-2
dict,Set,construction,fromList,0.2943240831183115,0.2910741692362353,0.2971884279861115,4.112021999514047e-3,2.453057042639285e-3,6.211420340352427e-3
dict,Set,construction,fromAscList,2.1117805187006868e-2,2.0249560846293632e-2,2.2053286650619768e-2,2.0432303205201595e-3,1.5732770487657671e-3,2.7080648057744e-3
dict,Set,query,isEmpty,4.386730810260806e-9,4.374403460034203e-9,4.402539286150017e-9,4.5261923210843904e-11,3.873842770054282e-11,5.313146052901487e-11
dict,Set,query,stringCount,5.753347161732421e-9,5.6204959426251175e-9,6.278339844740953e-9,7.904204293063447e-10,1.2423640284067674e-10,1.6586557960184096e-9
dict,Set,query,enumerate10,2.059042438887746e-7,2.0323856499522553e-7,2.0938016281664844e-7,1.0553956281859417e-8,7.229297632739664e-9,1.5024336566569175e-8
dict,Set,query,member,4.6265532299169624e-4,4.535417410897044e-4,4.782457049483139e-4,3.739381391703802e-5,2.467815167945571e-5,5.592399982142199e-5
dict,Set,query,eqv1,1.8882730041320645e-2,1.774509229781671e-2,2.1372914227268634e-2,4.117739831566068e-3,1.5717258261377792e-3,8.006462758633886e-3
dict,Set,query,eqv3,5.459248899209102e-9,5.4412325171884444e-9,5.490822711097281e-9,7.900172570964849e-11,4.817215387918326e-11,1.3843538936659976e-10
