Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Trie/query/enumerate10,2.187441309142534e-6,2.114989334274168e-6,2.259449684621791e-6,2.0571467915877237e-7,1.6568312682536843e-7,2.542183206320491e-7
Trie/query/match,1.721156848706424e-4,1.668270521644916e-4,1.7757448693352088e-4,1.509447203035161e-5,1.1746662201698526e-5,2.0424643799985548e-5
Trie/query/eqv1,1.8654291600339826e-2,1.7981012306188333e-2,1.947452540921259e-2,1.7136267937758302e-3,1.1163376625902858e-3,2.743356620772328e-3
Trie/query/eqv2,9.321037390359775e-5,8.939963378991007e-5,1.0113601556099333e-4,1.3540256293989984e-5,1.030662425338915e-5,1.946008858188203e-5
Trie/combine/union,3.558570376725555e-2,3.263602573951501e-2,3.6641509753891646e-2,3.1541572263184678e-3,1.306941708029967e-3,5.4699606306860835e-3
Trie/combine/intersection,5.271587311954728e-2,4.967293365723769e-2,5.4184898411181785e-2,3.668030258950975e-3,1.4934063184258097e-3,6.199988962027637e-3
Trie/combine/difference,1.7106095611023858e-2,1.6514439969420765e-2,1.7519735404851605e-2,1.1248434247242694e-3,7.579932918366629e-4,1.6400854736093118e-3
Trie/combine/append,7.522137963754304e-2,7.349173364695633e-2,7.670158522165699e-2,2.589993619703572e-3,1.5966881562709308e-3,3.9003658186348112e-3
Trie/combine/prefixes,2.776974672534703e-2,2.5517008432103284e-2,2.864229919967201e-2,2.9083682529965154e-3,1.5538584209875337e-3,4.935845966212101e-3
Trie/combine/suffixes,0.744765765791101,0.7391175618445102,0.7482059271178313,5.228997801615801e-3,0.0,5.9585342041301274e-3
Set/construction/fromList,0.29877656435186506,0.28995877505263445,0.30739641628909986,1.0826527536289803e-2,3.958747239916349e-4,1.3185245087623702e-2
Set/construction/fromAscList,2.2181803577556523e-2,2.0559303639269534e-2,2.30333015143916e-2,2.1928007070928877e-3,1.548146761254639e-3,3.117100498113845e-3
Set/query/isEmpty,7.319530534635289e-9,6.7775544692409355e-9,7.932687335453406e-9,1.0182549114751679e-9,7.081215021917371e-10,1.32775271952448e-9
Set/query/stringCount,8.634340180756845e-9,7.272399957557857e-9,1.1316433782511079e-8,2.8622165286347096e-9,6.860279099942812e-10,3.8740311211861755e-9
Set/query/enumerate10,4.0626429084492244e-7,3.797558740435582e-7,4.6072660948608177e-7,8.528972226495466e-8,3.538906763698808e-8,1.266562847572611e-7
Set/query/match,3.5799400464857904e-4,3.4651919248433115e-4,3.691950494213411e-4,3.170031927006145e-5,2.5666126017728338e-5,3.7735955118893864e-5
Set/query/eqv1,1.3293654689052851e-2,1.2636526860342789e-2,1.3729130613392699e-2,1.3812816512205923e-3,9.855719970350593e-4,1.8669711509578509e-3
Set/query/eqv2,7.9406283432993e-9,7.152412710138341e-9,1.0598849736729328e-8,1.9107769773302407e-9,4.5313089377267224e-10,2.9235295794724523e-9
Set/combine/union,3.0370956706380604e-2,2.8764208335330308e-2,3.1144865887616304e-2,2.160434649031491e-3,1.238833165711065e-3,3.5700692663610616e-3
Set/combine/intersection,2.7231573304479572e-2,2.5350882291275304e-2,2.799907740929663e-2,2.2386247782106923e-3,1.2472671641537837e-3,3.840901582390642e-3
Set/combine/difference,2.2101507100981143e-2,2.0477276161092746e-2,2.276873514331047e-2,2.1035947280264884e-3,8.118313832429576e-4,3.25073727348078e-3
Set/combine/append,0.34625416514278934,0.3446157656826212,0.34703672944294617,1.4231458062486635e-3,6.808789643208968e-17,1.4823499800435873e-3
Set/combine/prefixes,0.621127918841953,0.6162751521593669,0.6256005427068366,7.439483240129717e-3,0.0,7.746811777123472e-3
Set/combine/suffixes,1.078591342941795,1.0577546227241068,1.0913516169068374,1.93645998322026e-2,0.0,2.2101442825951657e-2
